~from,~id,association_type:String,data_source:String,source:String,~to,~label
TCIRG1,gene_disease_4715,MENDELIAN,hpo,ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen,OMIM:259700,GeneToDiseaseAssociation
TNNT1,gene_disease_4716,MENDELIAN,hpo,ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen,OMIM:620389,GeneToDiseaseAssociation
TNNT1,gene_disease_4717,MENDELIAN,hpo,ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen,OMIM:620386,GeneToDiseaseAssociation
ATP11A,gene_disease_4718,MENDELIAN,hpo,ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen,OMIM:620384,GeneToDiseaseAssociation
ZEB2,gene_disease_4719,MENDELIAN,hpo,ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen,OMIM:235730,GeneToDiseaseAssociation
MOS,gene_disease_4720,MENDELIAN,hpo,ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen,OMIM:620383,GeneToDiseaseAssociation
TNRC6A,gene_disease_4721,MENDELIAN,hpo,ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen,OMIM:618074,GeneToDiseaseAssociation
SOX3,gene_disease_4722,MENDELIAN,hpo,ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen,OMIM:300123,GeneToDiseaseAssociation
LIMA1,gene_disease_4723,MENDELIAN,hpo,ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen,OMIM:618079,GeneToDiseaseAssociation
RAPGEF2,gene_disease_4724,MENDELIAN,hpo,ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen,OMIM:618075,GeneToDiseaseAssociation
ERGIC1,gene_disease_4725,MENDELIAN,hpo,ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen,OMIM:208100,GeneToDiseaseAssociation
UFC1,gene_disease_4726,MENDELIAN,hpo,ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen,OMIM:618076,GeneToDiseaseAssociation
INAVA,gene_disease_4727,POLYGENIC,hpo,ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen,OMIM:618077,GeneToDiseaseAssociation
NUP107,gene_disease_4728,MENDELIAN,hpo,ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen,OMIM:618078,GeneToDiseaseAssociation
IRF6,gene_disease_4729,MENDELIAN,hpo,ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen,OMIM:119500,GeneToDiseaseAssociation
CASP10,gene_disease_4730,MENDELIAN,hpo,ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen,OMIM:603909,GeneToDiseaseAssociation
PGAP1,gene_disease_4731,MENDELIAN,hpo,ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen,OMIM:615802,GeneToDiseaseAssociation
CLP1,gene_disease_4732,MENDELIAN,hpo,ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen,OMIM:615803,GeneToDiseaseAssociation
CD96,gene_disease_4733,MENDELIAN,hpo,ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen,OMIM:211750,GeneToDiseaseAssociation
AMT,gene_disease_4734,MENDELIAN,hpo,ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen,OMIM:620398,GeneToDiseaseAssociation
AMPD2,gene_disease_4735,MENDELIAN,hpo,ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen,OMIM:615809,GeneToDiseaseAssociation
PIKFYVE,gene_disease_4736,MENDELIAN,hpo,ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen,OMIM:121850,GeneToDiseaseAssociation
TPR,gene_disease_4737,MENDELIAN,hpo,ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen,OMIM:620393,GeneToDiseaseAssociation
DNA2,gene_disease_4738,MENDELIAN,hpo,ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen,OMIM:615807,GeneToDiseaseAssociation
FLG2,gene_disease_4739,MENDELIAN,hpo,ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen,OMIM:618084,GeneToDiseaseAssociation
RHAG,gene_disease_4740,MENDELIAN,hpo,ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen,OMIM:185000,GeneToDiseaseAssociation
HBB,gene_disease_4741,MENDELIAN,hpo,ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen,OMIM:603903,GeneToDiseaseAssociation
HBB,gene_disease_4742,MENDELIAN,hpo,ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen,OMIM:603902,GeneToDiseaseAssociation
FANCM,gene_disease_4743,MENDELIAN,hpo,ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen,OMIM:618086,GeneToDiseaseAssociation
CACNA1G,gene_disease_4744,MENDELIAN,hpo,ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen,OMIM:618087,GeneToDiseaseAssociation
IRF2BPL,gene_disease_4745,MENDELIAN,hpo,ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen,OMIM:618088,GeneToDiseaseAssociation
FBXO11,gene_disease_4746,MENDELIAN,hpo,ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen,OMIM:618089,GeneToDiseaseAssociation
KAT6B,gene_disease_4747,MENDELIAN,hpo,ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen,OMIM:606170,GeneToDiseaseAssociation
DYRK1B,gene_disease_4748,MENDELIAN,hpo,ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen,OMIM:615812,GeneToDiseaseAssociation
PGM3,gene_disease_4749,MENDELIAN,hpo,ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen,OMIM:615816,GeneToDiseaseAssociation
WASHC4,gene_disease_4750,MENDELIAN,hpo,ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen,OMIM:615817,GeneToDiseaseAssociation
GCK,gene_disease_4751,MENDELIAN,hpo,ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen,OMIM:606176,GeneToDiseaseAssociation
STUB1,gene_disease_4752,MENDELIAN,hpo,ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen,OMIM:618093,GeneToDiseaseAssociation
COCH,gene_disease_4753,MENDELIAN,hpo,ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen,OMIM:618094,GeneToDiseaseAssociation
CAMK2A,gene_disease_4754,MENDELIAN,hpo,ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen,OMIM:618095,GeneToDiseaseAssociation
FANCM,gene_disease_4755,MENDELIAN,hpo,ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen,OMIM:618096,GeneToDiseaseAssociation
LNPK,gene_disease_4756,MENDELIAN,hpo,ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen,OMIM:618090,GeneToDiseaseAssociation
SPINK2,gene_disease_4757,MENDELIAN,hpo,ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen,OMIM:618091,GeneToDiseaseAssociation
ABCD1,gene_disease_4758,MENDELIAN,hpo,ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen,OMIM:300100,GeneToDiseaseAssociation
BCL11B,gene_disease_4759,MENDELIAN,hpo,ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen,OMIM:618092,GeneToDiseaseAssociation
BGN,gene_disease_4760,MENDELIAN,hpo,ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen,OMIM:300106,GeneToDiseaseAssociation
TOP3A,gene_disease_4761,MENDELIAN,hpo,ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen,OMIM:618097,GeneToDiseaseAssociation
TOP3A,gene_disease_4762,MENDELIAN,hpo,ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen,OMIM:618098,GeneToDiseaseAssociation
MAP3K7,gene_disease_4763,MENDELIAN,hpo,ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen,OMIM:157800,GeneToDiseaseAssociation
UQCC2,gene_disease_4764,MENDELIAN,hpo,ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen,OMIM:615824,GeneToDiseaseAssociation
TRAPPC2,gene_disease_4765,MENDELIAN,hpo,ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen,OMIM:313400,GeneToDiseaseAssociation
DSP,gene_disease_4766,MENDELIAN,hpo,ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen,OMIM:615821,GeneToDiseaseAssociation
DEAF1,gene_disease_4767,MENDELIAN,hpo,ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen,OMIM:615828,GeneToDiseaseAssociation
AHDC1,gene_disease_4768,MENDELIAN,hpo,ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen,OMIM:615829,GeneToDiseaseAssociation
RPS28,gene_disease_4769,MENDELIAN,hpo,ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen,OMIM:606164,GeneToDiseaseAssociation
FTL,gene_disease_4770,MENDELIAN,hpo,ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen,OMIM:606159,GeneToDiseaseAssociation
MUSK,gene_disease_4771,MENDELIAN,hpo,ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen,OMIM:208150,GeneToDiseaseAssociation
PRKACA,gene_disease_4772,MENDELIAN,hpo,ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen,OMIM:615830,GeneToDiseaseAssociation
CFAP418,gene_disease_4773,MENDELIAN,hpo,ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen,OMIM:614500,GeneToDiseaseAssociation
AUTS2,gene_disease_4774,MENDELIAN,hpo,ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen,OMIM:615834,GeneToDiseaseAssociation
PMP22,gene_disease_4775,MENDELIAN,hpo,ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen,OMIM:118220,GeneToDiseaseAssociation
HARS1,gene_disease_4776,MENDELIAN,hpo,ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen,OMIM:614504,GeneToDiseaseAssociation
SNIP1,gene_disease_4777,MENDELIAN,hpo,ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen,OMIM:614501,GeneToDiseaseAssociation
NECAP1,gene_disease_4778,MENDELIAN,hpo,ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen,OMIM:615833,GeneToDiseaseAssociation
LYRM7,gene_disease_4779,MENDELIAN,hpo,ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen,OMIM:615838,GeneToDiseaseAssociation
DDOST,gene_disease_4780,MENDELIAN,hpo,ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen,OMIM:614507,GeneToDiseaseAssociation
TCAP,gene_disease_4781,MENDELIAN,hpo,ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen,OMIM:607487,GeneToDiseaseAssociation
RAD51,gene_disease_4782,MENDELIAN,hpo,ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen,OMIM:614508,GeneToDiseaseAssociation
CR1,gene_disease_4783,MENDELIAN,hpo,ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen,OMIM:607486,GeneToDiseaseAssociation
UBIAD1,gene_disease_4784,MENDELIAN,hpo,ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen,OMIM:121800,GeneToDiseaseAssociation
GRXCR2,gene_disease_4785,MENDELIAN,hpo,ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen,OMIM:615837,GeneToDiseaseAssociation
SLC19A3,gene_disease_4786,MENDELIAN,hpo,ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen,OMIM:607483,GeneToDiseaseAssociation
CSRP3,gene_disease_4787,MENDELIAN,hpo,ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen,OMIM:607482,GeneToDiseaseAssociation
GRN,gene_disease_4788,MENDELIAN,hpo,ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen,OMIM:607485,GeneToDiseaseAssociation
LRP2,gene_disease_4789,MENDELIAN,hpo,ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen,OMIM:222448,GeneToDiseaseAssociation
KRT14,gene_disease_4790,MENDELIAN,hpo,ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen,OMIM:161000,GeneToDiseaseAssociation
KIF1B,gene_disease_4791,MENDELIAN,hpo,ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen,OMIM:118210,GeneToDiseaseAssociation
TAF4B,gene_disease_4792,MENDELIAN,hpo,ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen,OMIM:615841,GeneToDiseaseAssociation
ZMYND15,gene_disease_4793,MENDELIAN,hpo,ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen,OMIM:615842,GeneToDiseaseAssociation
PROS1,gene_disease_4794,MENDELIAN,hpo,ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen,OMIM:614514,GeneToDiseaseAssociation
IFIH1,gene_disease_4795,MENDELIAN,hpo,ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen,OMIM:615846,GeneToDiseaseAssociation
EDNRB,gene_disease_4796,MENDELIAN,hpo,ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen,OMIM:277580,GeneToDiseaseAssociation
GLI2,gene_disease_4797,MENDELIAN,hpo,ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen,OMIM:615849,GeneToDiseaseAssociation
RLBP1,gene_disease_4798,MENDELIAN,hpo,ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen,OMIM:607476,GeneToDiseaseAssociation
COL4A1,gene_disease_4799,POLYGENIC,hpo,ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen,OMIM:614519,GeneToDiseaseAssociation
COL4A2,gene_disease_4800,POLYGENIC,hpo,ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen,OMIM:614519,GeneToDiseaseAssociation
ACE,gene_disease_4801,POLYGENIC,hpo,ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen,OMIM:614519,GeneToDiseaseAssociation
RLBP1,gene_disease_4802,MENDELIAN,hpo,ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen,OMIM:607475,GeneToDiseaseAssociation
POT1,gene_disease_4803,MENDELIAN,hpo,ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen,OMIM:615848,GeneToDiseaseAssociation
CA2,gene_disease_4804,MENDELIAN,hpo,ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen,OMIM:259730,GeneToDiseaseAssociation
VKORC1,gene_disease_4805,MENDELIAN,hpo,ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen,OMIM:607473,GeneToDiseaseAssociation
DPM1,gene_disease_4806,MENDELIAN,hpo,ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen,OMIM:608799,GeneToDiseaseAssociation
MPZ,gene_disease_4807,MENDELIAN,hpo,ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen,OMIM:118200,GeneToDiseaseAssociation
SKIC3,gene_disease_4808,MENDELIAN,hpo,ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen,OMIM:222470,GeneToDiseaseAssociation
JAK2,gene_disease_4809,MENDELIAN,hpo,ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen,OMIM:614521,GeneToDiseaseAssociation
VPS53,gene_disease_4810,MENDELIAN,hpo,ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen,OMIM:615851,GeneToDiseaseAssociation
EZH2,gene_disease_4811,MENDELIAN,hpo,ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen,OMIM:277590,GeneToDiseaseAssociation
COL11A2,gene_disease_4812,MENDELIAN,hpo,ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen,OMIM:614524,GeneToDiseaseAssociation
NDUFA13,gene_disease_4813,POLYGENIC,hpo,ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen,OMIM:607464,GeneToDiseaseAssociation
DOCK7,gene_disease_4814,MENDELIAN,hpo,ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen,OMIM:615859,GeneToDiseaseAssociation
TGFBI,gene_disease_4815,MENDELIAN,hpo,ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen,OMIM:121820,GeneToDiseaseAssociation
OSTM1,gene_disease_4816,MENDELIAN,hpo,ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen,OMIM:259720,GeneToDiseaseAssociation
AQP3,gene_disease_4817,MENDELIAN,hpo,ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen,OMIM:607457,GeneToDiseaseAssociation
HOXD13,gene_disease_4818,MENDELIAN,hpo,ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen,OMIM:186300,GeneToDiseaseAssociation
TWNK,gene_disease_4819,MENDELIAN,hpo,ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen,OMIM:607459,GeneToDiseaseAssociation
POLG,gene_disease_4820,MENDELIAN,hpo,ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen,OMIM:607459,GeneToDiseaseAssociation
DNAJC5,gene_disease_4821,MENDELIAN,hpo,ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen,OMIM:162350,GeneToDiseaseAssociation
ANKRD11,gene_disease_4822,MENDELIAN,hpo,ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen,OMIM:148050,GeneToDiseaseAssociation
TTLL5,gene_disease_4823,MENDELIAN,hpo,ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen,OMIM:615860,GeneToDiseaseAssociation
DGAT1,gene_disease_4824,MENDELIAN,hpo,ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen,OMIM:615863,GeneToDiseaseAssociation
EMP2,gene_disease_4825,MENDELIAN,hpo,ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen,OMIM:615861,GeneToDiseaseAssociation
CEP83,gene_disease_4826,MENDELIAN,hpo,ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen,OMIM:615862,GeneToDiseaseAssociation
ITGA7,gene_disease_4827,MENDELIAN,hpo,ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen,OMIM:613204,GeneToDiseaseAssociation
GJC2,gene_disease_4828,MENDELIAN,hpo,ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen,OMIM:613206,GeneToDiseaseAssociation
SOX11,gene_disease_4829,MENDELIAN,hpo,ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen,OMIM:615866,GeneToDiseaseAssociation
LMNA,gene_disease_4830,MENDELIAN,hpo,ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen,OMIM:613205,GeneToDiseaseAssociation
TMEM240,gene_disease_4831,MENDELIAN,hpo,ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen,OMIM:607454,GeneToDiseaseAssociation
CCDC50,gene_disease_4832,MENDELIAN,hpo,ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen,OMIM:607453,GeneToDiseaseAssociation
PDP1,gene_disease_4833,MENDELIAN,hpo,ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen,OMIM:608782,GeneToDiseaseAssociation
DSP,gene_disease_4834,MENDELIAN,hpo,ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen,OMIM:607450,GeneToDiseaseAssociation
SLC5A2,gene_disease_4835,MENDELIAN,hpo,ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen,OMIM:233100,GeneToDiseaseAssociation
PAX6,gene_disease_4836,MENDELIAN,hpo,ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen,OMIM:106210,GeneToDiseaseAssociation
WT1,gene_disease_4837,MENDELIAN,hpo,ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen,OMIM:106210,GeneToDiseaseAssociation
TNFSF11,gene_disease_4838,MENDELIAN,hpo,ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen,OMIM:259710,GeneToDiseaseAssociation
FGFR3,gene_disease_4839,MENDELIAN,hpo,ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen,OMIM:187601,GeneToDiseaseAssociation
RET,gene_disease_4840,MENDELIAN,hpo,ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen,OMIM:162300,GeneToDiseaseAssociation
FGFR3,gene_disease_4841,MENDELIAN,hpo,ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen,OMIM:187600,GeneToDiseaseAssociation
COG7,gene_disease_4842,MENDELIAN,hpo,ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen,OMIM:608779,GeneToDiseaseAssociation
UCP2,gene_disease_4843,POLYGENIC,hpo,ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen,OMIM:607447,GeneToDiseaseAssociation
HCN1,gene_disease_4844,MENDELIAN,hpo,ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen,OMIM:615871,GeneToDiseaseAssociation
WDR72,gene_disease_4845,MENDELIAN,hpo,ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen,OMIM:613211,GeneToDiseaseAssociation
CCNO,gene_disease_4846,MENDELIAN,hpo,ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen,OMIM:615872,GeneToDiseaseAssociation
TWIST2,gene_disease_4847,MENDELIAN,hpo,ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen,OMIM:227260,GeneToDiseaseAssociation
ADNP,gene_disease_4848,MENDELIAN,hpo,ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen,OMIM:615873,GeneToDiseaseAssociation
TJP2,gene_disease_4849,MENDELIAN,hpo,ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen,OMIM:615878,GeneToDiseaseAssociation
BPTF,gene_disease_4850,POLYGENIC,hpo,ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen,OMIM:148000,GeneToDiseaseAssociation
IL6,gene_disease_4851,POLYGENIC,hpo,ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen,OMIM:148000,GeneToDiseaseAssociation
DNMT3A,gene_disease_4852,MENDELIAN,hpo,ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen,OMIM:615879,GeneToDiseaseAssociation
EPCAM,gene_disease_4853,MENDELIAN,hpo,ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen,OMIM:613217,GeneToDiseaseAssociation
MAB21L2,gene_disease_4854,MENDELIAN,hpo,ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen,OMIM:615877,GeneToDiseaseAssociation
CYP2B6,gene_disease_4855,MENDELIAN,hpo,ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen,OMIM:614546,GeneToDiseaseAssociation
TRPM1,gene_disease_4856,MENDELIAN,hpo,ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen,OMIM:613216,GeneToDiseaseAssociation
ALG9,gene_disease_4857,MENDELIAN,hpo,ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen,OMIM:608776,GeneToDiseaseAssociation
ATXN8OS,gene_disease_4858,MENDELIAN,hpo,ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen,OMIM:608768,GeneToDiseaseAssociation
ATXN8,gene_disease_4859,MENDELIAN,hpo,ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen,OMIM:608768,GeneToDiseaseAssociation
ATN1,gene_disease_4860,MENDELIAN,hpo,ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen,OMIM:125370,GeneToDiseaseAssociation
TYRP1,gene_disease_4861,MENDELIAN,hpo,ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen,OMIM:203290,GeneToDiseaseAssociation
ANGPTL4,gene_disease_4862,MENDELIAN,hpo,ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen,OMIM:615881,GeneToDiseaseAssociation
PDHA1,gene_disease_4863,MENDELIAN,hpo,ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen,OMIM:312170,GeneToDiseaseAssociation
RPL21,gene_disease_4864,MENDELIAN,hpo,ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen,OMIM:615885,GeneToDiseaseAssociation
SMN1,gene_disease_4865,MENDELIAN,hpo,ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen,OMIM:253550,GeneToDiseaseAssociation
ORAI1,gene_disease_4866,MENDELIAN,hpo,ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen,OMIM:615883,GeneToDiseaseAssociation
NRAS,gene_disease_4867,MENDELIAN,hpo,ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen,OMIM:613224,GeneToDiseaseAssociation
DDX59,gene_disease_4868,MENDELIAN,hpo,ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen,OMIM:174300,GeneToDiseaseAssociation
TLR1,gene_disease_4869,POLYGENIC,hpo,ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen,OMIM:613223,GeneToDiseaseAssociation
AARS2,gene_disease_4870,MENDELIAN,hpo,ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen,OMIM:615889,GeneToDiseaseAssociation
SCN8A,gene_disease_4871,MENDELIAN,hpo,ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/mim2gene_medgen,OMIM:614558,GeneToDiseaseAssociation
